created_at,text
2022-11-30 08:28:10,"Es ist wichtig, in der #Solidarität mit den Menschen in und aus der #Ukraine nicht nachzulassen, das ist nämlich da… https://t.co/6dmSGzRVc4"
2022-11-30 08:28:08,"Krieg, Zerstörung, aber auch Lebensmut in #Kyjiv zeigen die Fotos der Ausstellung, die gestern im Roten Rathaus von… https://t.co/FZN1tsUXHu"
2022-11-30 08:00:23,"RT @katjakipping: Morgen Kinder wird's was geben,  Morgen startet die AdventskalenderZeit und die AV #Tariftreue tritt in #Berlin in Kraft.…"
2022-11-28 15:55:20,"RT @kulturBdigital: ""Impulse setzen und versuchen mit diesen Impulsen Veränderungsprozesse anzustoßen"". Den Impuls von Kultursenator @klaus…"
2022-11-28 08:53:38,"„Natürlich traue ich mir zu,  Regierender Bürgermeister zu werden.“ 

Mit @bertschulz und @retep_kire von… https://t.co/K1dPD8jIJc"
2022-11-27 18:33:02,"Herzlichen Glückwunsch, @eva_kroeger, die neue Oberbürgermeisterin von #Rostock! Ein tolles Ergebnis von 58%, und n… https://t.co/xGoAD5CkZQ"
2022-11-27 18:26:43,"Keine Frage, es gibt mehr denn je zu tun gg. alte/neue Nazis, die extreme Mitte, Rassismus &amp; Antisemitismus. 
Hans… https://t.co/Q1SKLFOUNX"
2022-11-27 18:26:36,"Mein Freund und Genosse, der Antifaschist Hans Coppi, feiert heute seinen 80. Geburtstag. Da bin ich natürlich dabe… https://t.co/d8LvErdkNh"
2022-11-26 12:35:02,Am 10.12. im Friedrich-Ludwig-Jahn Sportpark. Kommt rum! 🎈😉💪🏻 https://t.co/BW5GW5rFAa
2022-11-26 11:43:32,"RT @dielinkeberlin: Gemeinsame #LINKE Erklärung zum #Bürgergeld: „Wir wollen Sicherheit und Zukunft für alle, denen angst und bange wird, w…"
2022-11-26 11:02:23,"Ich bin froh, dass ich dabei sein und die besten Grüße des Senats überbringen durfte. Und wir bräuchten noch viel m… https://t.co/CLMIa7qVt8"
2022-11-26 11:02:20,"Am gestrigen Abend wurde die @UraniaBerlin-Medaille an meinen Freund Igor Levit verliehen, der Urania-Courage-Preis… https://t.co/wkKtdqmEsF"
2022-11-25 22:42:06,Berliner Arbeitsstipendiums für deutschsprachige Literatur der  @SenKultEu ihr Talent. Ich habe mich sehr gefreut d… https://t.co/YM8YHw6IAZ
2022-11-25 22:42:03,"Mit 28 Lesungen, Gesprächen und Texten eröffnen die Berliner Manuskripte 20022 heute und morgen der Öffentlichkeit… https://t.co/nrOUC7yZaq"
2022-11-25 11:52:20,RT @katjakipping: Heute wird im Bundesrat über das #Bürgergeld abgestimmt. Meine Einschätzung dazu👇 https://t.co/nfiigGhJ0s
2022-11-24 20:58:44,"Ich freue mich sehr, dass diese Ausstellung nun in unserem Landesmuseum zu sehen ist, dort gehört sie auch hin. Heu… https://t.co/aWE0eWjVqL"
2022-11-24 20:58:38,und #Kapitalismus. Das ist auch eine Solidaritätsbekundung der @BG_Museum für die Künstler*innen und Kurator*innen… https://t.co/wVks6M48sL
2022-11-24 20:58:29,"„#Klassenfragen. #Kunst und ihre Produktionsbedingungen“ ist eine Ausstellung, die die Fragen thematisiert, über di… https://t.co/6oN7XlIvg7"
2022-11-23 19:19:27,"Das ist #Berlin!
Also, was soll ich noch sagen? Geht hin! Teilt das, erzählt es weiter! Macht Propaganda! Es lohnt… https://t.co/JpQAH6YjJI"
2022-11-23 19:19:26,"die die Ästhetik der Epoche aufs Trefflichste einfängt. 
Respekt und ein dickes Dankeschön an die Macher*innen, da… https://t.co/GlaWYsZ4Y5"
2022-11-23 19:17:43,"Die neue Ausstellung, wieder mit exzellenten &amp; fachkundig gearbeiteten Katalog flankiert, besticht nicht nur durch… https://t.co/dOSkB0L2QS"
2022-11-23 19:16:59,"„1922 - #Grosz reist nach Sowjetrussland“: das ist die neue, die 2. Ausstellung in dem ganz grandiosen &amp; rein auf p… https://t.co/9lBjMTeCrl"
2022-11-23 16:57:24,RT @kickstattguck: „Kicken statt Gucken“wird am 10.12. moderiert von @FabianGrischkat und Sabine „Bine“ Krutschinna. Auf der Bühne zu Gast…
2022-11-23 16:57:03,"infiziert haben oder erkrankt sind. 
Ihr könnt in den nächsten Tagen manche von uns aus der @dielinke_queer - oder… https://t.co/KnH9FLd2om"
2022-11-23 16:56:58,"Alle Jahre wieder… die Spendensammlung von @dielinke_queer zum Welt-AIDS-Tag, zugunsten der Berliner Aids-Hilfe e.V… https://t.co/DSEkWcSbgX"
2022-11-22 20:23:06,"wenn das Regime der Ausbeutung, der Verstärkung von Armut und Reichtum, nicht überwunden wird. Es gibt so viel loka… https://t.co/LE79E4hZuM"
2022-11-22 20:22:58,der heute auf einer Veranstaltung des deutschen UNDP-Büros seine hiesige Premiere hatte. Vielen Dank an Michael Leu… https://t.co/EhfLdvo4W6
2022-11-22 20:22:54,"Das United Nations Development Programme - UNDP hat es sich zur Aufgabe gemacht, lokale Ansätze und Grassroots-Init… https://t.co/qrEN5ub495"
2022-11-22 20:22:47,"Die #UN-Ziele zur nachhaltigen Entwicklung stehen gerade wenig im Fokus der Öffentlichkeit. Sehr zu Unrecht, denn… https://t.co/hMERh1lZye"
2022-11-21 21:06:13,"Und die Kirsche auf dem Cocktail war dann die letzte Gelegenheit, das Bildnis Richard Dehmels, gezeichnet von Max L… https://t.co/zGOoUtInyp"
2022-11-21 21:06:12,"innovativ für die kulturelle Bildung engagiert. Ich danke sehr, dass ich den Geburtstagsvortrag halten durfte: „Übe… https://t.co/6SVk9IE0s3"
2022-11-21 21:06:08,"25 Jahre Stiftung Brandenburger Tor der @BerlinerSpk , das ist tatsächlich Grund zum Feiern. Seit ihrer Gründung is… https://t.co/TxWhwALCz4"
2022-11-21 15:17:39,"obwohl die Spieler massiv unter Druck gesetzt wurden, genau das nicht zu tun. Die Männer sehen müde, wütend, angesp… https://t.co/Z7JuSJQsAq"
2022-11-21 15:17:38,"Acht Europäische Mannschaften aus dem freien Westen verzichten auf die one love Armbinde, weil die FIFA mit Sanktio… https://t.co/7pwDEYwGP6"
2022-11-20 13:31:19,"RT @dielinke_queer: Nach Oslo und Bratislava der nächste Angriff auf eine queere Location, diesmal in Colorado Springs. Unsere Gedanken sin…"
